               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.056922,           0.0098416,           0.0077396,             0.97511,             0.94505,             0.96845,             0.76002,            0.030236,           0.0052863,           0.0028572,           0.0083962,           0.0083962,           0.0083962
                  83,            0.058464,            0.010578,           0.0082921,             0.97024,             0.99972,             0.99409,             0.57501,            0.038782,           0.0056078,           0.0027112,           0.0083764,           0.0083764,           0.0083764
                  84,            0.062794,            0.010436,           0.0069305,             0.97024,             0.99972,             0.99409,             0.57501,            0.038782,           0.0056078,           0.0027112,           0.0083566,           0.0083566,           0.0083566
                  85,            0.061554,             0.01262,           0.0078061,             0.98764,             0.95155,             0.97783,             0.67386,            0.038154,           0.0056032,           0.0026829,           0.0083368,           0.0083368,           0.0083368
                  86,            0.058707,            0.010272,            0.007477,             0.99776,             0.95238,             0.98166,             0.78796,            0.026671,           0.0054781,           0.0027234,            0.008317,            0.008317,            0.008317
                  87,            0.052253,            0.010968,           0.0070868,             0.73274,              0.9461,             0.92391,             0.53642,            0.028083,           0.0056099,           0.0026515,           0.0082972,           0.0082972,           0.0082972
                  88,            0.051617,            0.010191,           0.0068166,             0.73274,              0.9461,             0.92391,             0.53642,            0.028083,           0.0056099,           0.0026515,           0.0082774,           0.0082774,           0.0082774
                  89,            0.050106,           0.0091995,            0.010621,             0.68335,             0.97619,             0.84323,             0.52495,            0.024299,           0.0054886,           0.0027008,           0.0082576,           0.0082576,           0.0082576
                  90,            0.047121,           0.0083719,           0.0059166,             0.92486,             0.97607,             0.97871,             0.68131,            0.023214,           0.0054509,           0.0027536,           0.0082378,           0.0082378,           0.0082378
                  91,            0.050446,            0.010052,           0.0065891,             0.97477,             0.92224,             0.97164,             0.67271,            0.029263,           0.0056585,           0.0027977,            0.008218,            0.008218,            0.008218
                  92,            0.056549,              0.0103,           0.0063041,             0.97477,             0.92224,             0.97164,             0.67271,            0.029263,           0.0056585,           0.0027977,           0.0081982,           0.0081982,           0.0081982
                  93,            0.049343,            0.011404,           0.0058611,              0.9524,             0.97599,             0.98349,             0.66773,            0.025108,           0.0054754,           0.0028302,           0.0081784,           0.0081784,           0.0081784
                  94,               0.051,           0.0080775,           0.0059728,             0.76603,             0.97619,             0.91982,             0.65074,            0.026165,           0.0054148,           0.0029042,           0.0081586,           0.0081586,           0.0081586
                  95,            0.054081,           0.0090426,           0.0066124,             0.79845,             0.97633,             0.93604,             0.47125,            0.025914,            0.005473,           0.0030392,           0.0081388,           0.0081388,           0.0081388
                  96,            0.053472,            0.010248,           0.0061074,             0.79845,             0.97633,             0.93604,             0.47125,            0.025914,            0.005473,           0.0030392,            0.008119,            0.008119,            0.008119
                  97,            0.046859,            0.009565,           0.0066309,               0.993,             0.97619,             0.97798,              0.6762,            0.022145,           0.0051828,           0.0030522,           0.0080992,           0.0080992,           0.0080992
                  98,            0.045185,           0.0096435,             0.00484,              0.9529,             0.95194,             0.98881,             0.37753,            0.025166,            0.005324,           0.0030468,           0.0080794,           0.0080794,           0.0080794
                  99,            0.045659,           0.0078935,           0.0072489,             0.98499,             0.95238,             0.98314,             0.67577,            0.022827,           0.0050464,           0.0030215,           0.0080596,           0.0080596,           0.0080596
                 100,            0.047663,            0.010079,           0.0069973,             0.98499,             0.95238,             0.98314,             0.67577,            0.022827,           0.0050464,           0.0030215,           0.0080398,           0.0080398,           0.0080398
                 101,            0.041898,            0.011397,           0.0055542,             0.98219,             0.97611,             0.98605,             0.66533,            0.020835,           0.0050588,           0.0030303,             0.00802,             0.00802,             0.00802
                 102,            0.044833,           0.0097076,           0.0061309,             0.99657,             0.97615,             0.97593,             0.62034,            0.020328,            0.004998,           0.0030138,           0.0080002,           0.0080002,           0.0080002
                 103,            0.044464,           0.0093322,           0.0054784,               0.925,             0.90357,             0.94085,             0.49753,            0.027428,            0.005005,            0.003067,           0.0079804,           0.0079804,           0.0079804
                 104,             0.05137,            0.010186,           0.0049709,               0.925,             0.90357,             0.94085,             0.49753,            0.027428,            0.005005,            0.003067,           0.0079606,           0.0079606,           0.0079606
                 105,             0.05053,            0.008345,           0.0056886,             0.95198,             0.94789,             0.97541,             0.64819,            0.026513,           0.0049161,           0.0031114,           0.0079408,           0.0079408,           0.0079408
                 106,            0.051354,            0.008785,           0.0060178,             0.82721,             0.91423,             0.87332,             0.41063,            0.029238,           0.0050657,           0.0031543,            0.007921,            0.007921,            0.007921
                 107,            0.054112,            0.010038,           0.0052035,             0.78165,             0.99025,             0.91335,             0.59265,            0.025592,           0.0050347,           0.0033194,           0.0079012,           0.0079012,           0.0079012
                 108,            0.054652,           0.0089335,           0.0058462,             0.78165,             0.99025,             0.91335,             0.59265,            0.025592,           0.0050347,           0.0033194,           0.0078814,           0.0078814,           0.0078814
                 109,            0.052362,           0.0084229,            0.007145,             0.76454,             0.97619,             0.93858,             0.63208,            0.023382,           0.0048111,           0.0033786,           0.0078616,           0.0078616,           0.0078616
                 110,             0.04449,           0.0094192,           0.0057724,             0.91495,             0.97619,             0.94933,             0.55915,            0.021419,           0.0047828,           0.0033723,           0.0078418,           0.0078418,           0.0078418
                 111,            0.046096,           0.0099236,           0.0056161,             0.80395,             0.95119,              0.9166,             0.58062,            0.024453,           0.0049461,            0.003459,            0.007822,            0.007822,            0.007822
                 112,             0.04894,           0.0092711,            0.006613,             0.80395,             0.95119,              0.9166,             0.58062,            0.024453,           0.0049461,            0.003459,           0.0078022,           0.0078022,           0.0078022
                 113,            0.045982,           0.0095036,           0.0055564,             0.95043,             0.95119,             0.96431,             0.70297,            0.023023,           0.0048106,           0.0034835,           0.0077824,           0.0077824,           0.0077824
                 114,            0.043845,           0.0092375,           0.0073068,             0.76213,                   1,             0.88104,             0.51655,             0.01828,           0.0045521,           0.0035943,           0.0077626,           0.0077626,           0.0077626
